waf_id,pillar_name,principle,best_practice,capabilities,details,query_table_name,threshold_percentage,metric_definition,recommendation_if_not_met,evaluation_type
DG-01-01,01 - Data And AI Governance,Unify data and AI management,Establish data governance process,,"Data governance is the management of the availability, usability, integrity, and security of an organization's data. By strengthening data governance, organizations can ensure the quality of data that is critical for accurate analysis and decision making, helping to identify new opportunities, improve customer satisfaction, and ultimately increase revenue. It helps organizations comply with data privacy regulations and improve security measures, reducing the risk of data breaches and penalties. 
Effective data governance also eliminates redundancies and streamlines data management, resulting in cost savings and increased operational efficiency. 
Topics to cover with data governance include
- Data ownership, roles and responsibilities
- Policies and procedures to guide data quality, privacy, security, and compliance
- Data quality to ensure the accuracy, completeness, and reliability of data
- Data security and compliance
- Data architecture and integration
- Metadata management to ensure that data is well understood
Unity catalog is at the center of the Databricks Data Intelligence Platform and helps with many aspects of data governance from metadata management, lineage, to access control.
AWS | AZURE | GCP",waf_controls_g,80,Percentage of applicable resources that satisfy: Establish data governance process.,"Data governance is the management of the availability, usability, integrity, and security of an organization's data.",automatic
DG-01-02,01 - Data And AI Governance,Unify data and AI management,Manage metadata for all data assets in one place,Unity Catalog,"The benefits of managing all metadata in one place are similar to the benefits of maintaining a single source of truth for all your data. These include reduced data redundancy, increased data integrity, and avoiding misunderstandings based on different definitions or taxonomies. It's also easier to implement global policies, standards, and rules when dealing with one source.

As a best practice, run the lakehouse in a single account with one Unity Catalog. The top-level container of objects in Unity Catalog is a metastore. It stores data assets (such as tables and views) and the permissions that govern access to them. Use a single metastore per cloud region and do not access metastores across regions to avoid latency issues.
AWS | Azure | GCP

Databricks recommends using catalogs to provide segregation across your organization’s information architecture. Often this means that catalogs can correspond to software development environment scope, team, or business unit.
AWS | Azure | GCP",waf_controls_g,80,Percentage of applicable resources that satisfy: Manage metadata for all data assets in one place.,The benefits of managing all metadata in one place are similar to the benefits of maintaining a single source of truth for all your data.,automatic
DG-01-03,01 - Data And AI Governance,Unify data and AI management,Track data and AI lineage to drive visibility of the data,Unity Catalog,"Data lineage is a powerful tool that helps data leaders drive greater visibility and understanding of the data in their organizations. It describes the transformation and refinement of data from source to insight. Lineage includes the capture of all relevant metadata and events associated with the data in its lifecycle, including the source of the data set, what other data sets were used to create it, who created it and when, what transformations were performed, what other data sets use it, and many other events and attributes. Data lineage can be used for many data-related use cases:

- Compliance and audit readiness: Data lineage helps organizations trace the source of tables and fields. This is important for meeting the requirements of many compliance regulations, such as General Data Protection Regulation (GDPR), California Consumer Privacy Act (CCPA), Health Insurance Portability and Accountability Act (HIPAA), Basel Committee on Banking Supervision (BCBS) 239, and Sarbanes-Oxley Act (SOX).

- Impact analysis/change management: Data goes through multiple transformations from the source to the final business-ready table. Understanding the potential impact of data changes on downstream users becomes important from a risk-management perspective. This impact can be easily determined using the data lineage collected by Unity Catalog.

- Data quality assurance: Understanding where a data set came from and what transformations have been applied provides much better context for data scientists and analysts, enabling them to gain better and more accurate insights.

- Debugging and diagnostics: In the event of an unexpected result, data lineage helps data teams perform root cause analysis by tracing the error back to its source. This dramatically reduces debugging time.

Unity Catalog captures runtime data lineage across queries run on Databricks. Lineage is supported for all languages and is captured down to the column level. Lineage data includes notebooks, workflows, and dashboards related to the query. Lineage can be visualized in Catalog Explorer in near real-time and retrieved with the Databricks Data Lineage REST API.
AWS | Azure | GCP",waf_controls_g,50,% of managed/external UC tables with lineage entries in system.access.table_lineage (target_table_full_name).,"Enable Unity Catalog lineage and ensure workloads run on UC-managed objects so lineage is captured.
- Verify system tables are enabled: https://docs.databricks.com/aws/en/admin/system-tables/
- Use Catalog Explorer lineage or query lineage system tables: https://docs.databricks.com/aws/en/data-governance/unity-catalog/data-lineage and https://docs.databricks.com/aws/en/admin/system-tables/lineage
- Adopt a standard for writing via UC tables/views (avoid direct path writes that bypass governance).",automatic
DG-01-04,01 - Data And AI Governance,Unify data and AI management,Add consistent descriptions to your metadata,Databricks IQ; Unity Catalog,"Enriching metadata with comments can help accelerate processes...

AI-generated comments are intended to provide a general description of tables and columns based on the schema. The descriptions are tuned for data in a business and enterprise context, using example schemas from several open datasets across various industries. The model was evaluated with hundreds of simulated samples to verify it avoids generating harmful or inappropriate descriptions.
AWS | Azure | GCP",waf_controls_g,50,% of managed/external UC tables with a non-null COMMENT in system.information_schema.tables.,"Roll out a metadata hygiene program and enforce COMMENT population for tables/views.
- Use Information Schema metadata to find missing comments and bulk-fix: https://docs.databricks.com/aws/en/admin/system-tables/
- Add “description required” to your onboarding/checklist and data product templates.
- Optionally enforce via CI checks (e.g., fail PR if new objects lack comments).",automatic
DG-01-05,01 - Data And AI Governance,Unify data and AI management,Allow easy data discovery for data consumers,Unity Catalog,"Easy data discovery enables data scientists, data analysts, and data engineers to quickly discover and reference relevant data and accelerate time to value.

Databricks Catalog Explorer provides a UI to explore and manage data, schemas (databases), tables, and permissions, data owners, external locations, and credentials. Additionally, you can use the Insights tab in Catalog Explorer to view the most frequent recent queries and users of any table registered in Unity Catalog.
AWS | Azure | GCP",waf_controls_g,50,% of managed/external UC tables with tags present (checks existence of system.information_schema.table_tags; score uses % tagged).,"Adopt Unity Catalog tags for discovery, ownership, and classification.
- Create a tagging taxonomy (owner, domain, pii, retention) and apply tags: https://docs.databricks.com/aws/en/database-objects/tags
- Use INFORMATION_SCHEMA.TABLE_TAGS to audit coverage: https://docs.databricks.com/aws/en/sql/language-manual/information-schema/table_tags
- Consider ABAC later if you want policy-driven tag enforcement at scale.",automatic
DG-01-06,01 - Data And AI Governance,Unify data and AI management,Govern AI assets together with data,Unity Catalog,"Governing all your AI assets is important because it ensures unified visibility and control over data and AI assets, which is crucial for maintaining data quality, security, and compliance across different platforms and clouds. This governance facilitates the management of access policies consistently and efficiently, enhancing operational intelligence and ensuring that AI systems operate within regulatory guidelines and business requirements.
With Unity Catalog, organizations can implement a unified governance framework for their structured and unstructured data, machine learning models, notebooks, features, functions, and files, enhancing security and compliance across clouds and platforms.
AWS | Azure | GCP

Model aliases in machine learning workflows allow you to assign a mutable, named reference to a specific version of a registered model. This functionality is beneficial for tracking and managing different stages of a model’s lifecycle, indicating the current deployment status of any given model version.
AWS | Azure | GCP",waf_controls_g,80,Percentage of applicable resources that satisfy: Govern AI assets together with data.,"Governing all your AI assets is important because it ensures unified visibility and control over data and AI assets, which is crucial for maintaining data quality, security, and compliance across different platforms and clouds.",automatic
DG-02-01,01 - Data And AI Governance,Unify data and AI security,Centralize access control for all data and AI assets,Unity Catalog,"Centralizing access control for all data assets is important because it simplifies the security and governance of your data and AI assets by providing a central place to administer and audit access to these assets. This approach helps in managing data and AI object access more efficiently, ensuring that operational requirements around segregation of duty are enforced, which is crucial for regulatory compliance and risk avoidance.

Databricks provides access to audit logs of activities performed by Databricks users, allowing your enterprise to monitor detailed Databricks usage patterns. There are two types of logs: Workspace-level audit logs with workspace-level events and account-level audit logs with account-level events.
AWS | Azure | GCP
AWS | Azure | GCP",waf_controls_g,100,Row-level/column-level controls present (checks existence of Unity Catalog row filters in system.information_schema.row_filters).,"Implement row filters and column masks (or ABAC policies) for sensitive data.
- Start with row filters/column masks per table: https://docs.databricks.com/aws/en/data-governance/unity-catalog/filters-and-masks/
- Centralize logic in UDFs / mapping tables and reuse across datasets.
- Validate with least-privilege groups and test with impersonation.",automatic
DG-02-02,01 - Data And AI Governance,Unify data and AI security,Configure audit logging,Unity Catalog,"Audit logging is important for providing a detailed account of system activities (user actions, changes to settings, etc.) that could impact the system's integrity. Whereas standard system logs are designed to help developers troubleshoot errors, audit logs provide a historical record of activity for compliance purposes and other business policy enforcement. Maintaining robust audit logs can help identify and ensure preparedness in the face of threats, breaches, fraud, and other system issues.

Databricks provides access to audit logs of activities performed by Databricks users, allowing your enterprise to monitor detailed Databricks usage patterns. There are two types of logs: Workspace-level audit logs with workspace-level events and account-level audit logs with account-level events.
AWS | Azure | GCP
AWS | Azure | GCP",waf_controls_g,100,Audit log system table enabled and queryable (checks existence of system.access.audit).,"Enable and grant access to the audit log system table.
- Audit log system table reference: https://docs.databricks.com/aws/en/admin/system-tables/audit-logs
- Event catalog/reference for what is logged: https://docs.databricks.com/aws/en/admin/account-settings/audit-logs
- Build standard dashboards/alerts (admin actions, permission changes, anomalous access).",automatic
DG-02-03,01 - Data And AI Governance,Unify data and AI security,Audit data platform events,Unity Catalog,"Auditing data platform events is important because (see above)

Unity Catalog captures an audit log of actions performed against the metastore. This enables admins to access fine-grained details about who accessed a given dataset and what actions they performed. 
AWS | Azure | GCP
AWS | Azure | GCP

For secure sharing with Delta Sharing, Databricks provides audit logs to monitor Delta Sharing events, including:

- When someone creates, modifies, updates, or deletes a share or a recipient.
- When a recipient accesses an activation link and downloads the credential.
- When a recipient accesses shares or data in shared tables.
- When a recipient’s credential is rotated or expires. 
AWS | Azure | GCP",waf_controls_g,100,Marketplace listing access events available (checks system.marketplace.listing_access_events exists).,"If you use Databricks Marketplace, enable/confirm marketplace access-event tracking and use it in governance reporting.
- System tables overview and enablement: https://docs.databricks.com/aws/en/admin/system-tables/
- Grant read access to the marketplace schema tables for the governance/reporting group.
- Monitor who accessed what listings and when; route to SIEM if required.",automatic
DG-03-01,01 - Data And AI Governance,Establish data quality standards,Define and document data quality standards,,"Defining clear and actionable data quality standards is crucial, because it helps ensure that data used for analysis, reporting, and decision-making is reliable and trustworthy. Documenting these standards helps ensure that they are upheld.

Data quality standards should be based on the specific needs of the business and should address dimensions of data quality such as accuracy, completeness, consistency, timeliness, and reliability
- Accuracy: Ensure data accurately reflects real-world values.
- Completeness: All necessary data should be captured and no critical data should be missing.
- Consistency: Data across all systems should be consistent and not contradict other data.
- Timeliness: Data should be updated and available in a timely manner.
- Reliability: Data should be sourced and processed in a way that ensures its dependability.",waf_controls_g,80,Percentage of applicable resources that satisfy: Define and document data quality standards.,"Defining clear and actionable data quality standards is crucial, because it helps ensure that data used for analysis, reporting, and decision-making is reliable and trustworthy.",automatic
DG-03-02,01 - Data And AI Governance,Establish data quality standards,"Use data quality tools for profiling, cleansing, validating, and monitoring data",,"Leverage data quality tools for profiling, cleansing, validating, and monitoring data. These tools help in automating the processes of detecting and correcting data quality issues, which is vital for scaling data quality initiatives across large datasets typical in data lakes.

For teams using DLT, you can use expectations to define data quality constraints on the contents of a dataset. Expectations allow you to guarantee data arriving in tables meets data quality requirements and provide insights into data quality for each pipeline update.
AWS | Azure | GCP",waf_controls_g,100,Data quality monitoring artifacts exist (looks for tables with suffix _drift_metrics or _profile_metrics).,"Adopt platform-native data quality monitoring/profiling and publish the results as drift/profile metrics.
- Standardize profiling for ‘gold’ datasets (nulls, distribution drift, freshness).
- Use system tables for operational monitoring and build alerting pipelines: https://docs.databricks.com/aws/en/admin/system-tables/
- Ensure metric tables are registered in UC and discoverable (tags + comments).",automatic
DG-03-03,01 - Data And AI Governance,Establish data quality standards,Implement and enforce standardized data formats and definitions,,"Standardized data formats and definitions helps achieve uniformity in data representation across all systems to facilitate easier data integration and analysis, reduce costs, and improve decision-making via enhance communication and collaboration between different teams and departments. It also helps provide structure for creating and maintaining data quality.

Develop and enforce a standard data dictionary that includes definitions, formats, and acceptable values for all data elements used across the organization.

Use consistent naming conventions, date formats, and measurement units across all databases and applications to prevent discrepancies and confusion.",waf_controls_g,80,% of UC managed/external tables stored in DELTA/ICEBERG/DELTASHARING format.,"Standardize on Delta (or Iceberg) for managed reliability and governance.
- Delta Lake overview: https://docs.databricks.com/aws/en/delta/
- Why ACID matters on Databricks: https://docs.databricks.com/aws/en/lakehouse/acid
- Migrate high-value tables first; keep external formats only for justified interoperability cases.",automatic
DG-EX01-01,01 - Data And AI Governance,Data classification (extended),"Classify data assets by sensitivity (PII, Confidential, Internal, Public)",Unity Catalog tags; Lakehouse Monitoring; Column tags,"Without an explicit classification, encryption and access control are applied uniformly — overprotecting public data and underprotecting sensitive data. Compliance frameworks (LGPD, GDPR, HIPAA, PCI-DSS) require a documented classification scheme as a prerequisite. Use UC tags at table and column level, supplemented by Lakehouse Monitoring's PII detection.",waf_controls_g,80,Percentage of UC tables with a 'sensitivity' or 'data_classification' tag applied at table or column level.,"Define a classification scheme (e.g., Public/Internal/Confidential/Restricted), tag all UC tables in production catalogs, and use Lakehouse Monitoring + Forge Comment Engine to accelerate column-level tagging.",automatic
IU-01-01,02 - Interoperability and Usability,Define standards for integration,Use standard and reusable integration patterns for external integration,Automation,"Integration standards are important because they provide guidelines for how data should be represented, exchanged, and processed across different systems and applications. These standards help ensure that data is compatible, high quality, and interoperable across various sources and destinations.

The Databricks Lakehouse comes with a comprehensive [REST API](/api/workspace/introduction) that allows you to manage nearly all aspects of the platform programmatically. The REST API server runs in the control plane and provides a unified endpoint to manage the <Databricks> platform. 

The REST API provides the lowest level of integration that can always be used. However, the preferred way to integrate with <Databricks> is to use higher level abstractions such as the [Databricks SDKs](/dev-tools/index-sdk.md) or [CLI tools](/dev-tools/index-cli.md). CLI tools are shell-based and allow to easily integrate the Databricks platform into CI/CD and MLOps workflows

AWS | Azure | GCP
AWS | Azure | GCP",waf_controls_i,80,Percentage of applicable resources that satisfy: Use standard and reusable integration patterns for external integration.,"Integration standards are important because they provide guidelines for how data should be represented, exchanged, and processed across different systems and applications.",automatic
IU-01-02,02 - Interoperability and Usability,Define standards for integration,Use optimized connectors to ingest data sources into the lakehouse,Lakehouse Federation,"Databricks provides optimized connectors for stream messaging services such as Apache Kafka for near-real time data ingestion of data.
Databricks provides built-in integrations to many cloud-native data systems, as well as extensible JDBC support to connect to other data systems.

One option for integrating data sources without ETL is Lakehouse Federation. Lakehouse Federation is the query federation platform for Databricks. The term query federation describes a collection of features that allow users and systems to run queries against multiple data sources without having to migrate all the data into a unified system. Databricks uses Unity Catalog to manage query federation. Unity Catalog’s data governance and data lineage tools ensure that data access is managed and audited for all federated queries run by users in your Databricks workspaces.
Note
Any query in the Databricks platform that uses a Lakehouse Federation source will be sent to that source. Make sure the source system can handle the load. Also be aware that if the source system is deployed in a different cloud region or cloud, there will be an egress cost for each query.
Consider to offload access to underlying databases via materialized views to avoid high/concurrent loads on operational databases and reduce egress costs.

AWS | Azure | GCP
AWS | Azure | GCP",waf_controls_i,80,Percentage of applicable resources that satisfy: Use optimized connectors to ingest data sources into the lakehouse.,Databricks provides optimized connectors for stream messaging services such as Apache Kafka for near-real time data ingestion of data.,automatic
IU-01-03,02 - Interoperability and Usability,Define standards for integration,Use certified partner tools,Databricks Partner Connect,"Using certified partner tools makes it easy to connect data between two systems. These integrations allow you to use the partner solutions while keeping you data unified in the Lakehouse.

Businesses have different needs, and no single tool can meet all of them. Partner Connect allows you to explore and easily integrate with our partners, which cover all aspects of the lakehouse: data ingestion, preparation and transformation, BI and visualization, machine learning, data quality, and so on. Partner Connect lets you create trial accounts with selected Databricks technology partners and connect your Databricks workspace to partner solutions from the Databricks UI. Try partner solutions using your data in the Databricks lakehouse, and then adopt the solutions that best meet your business needs. 

AWS | Azure | GCP",waf_controls_i,80,Percentage of applicable resources that satisfy: Use certified partner tools.,Using certified partner tools makes it easy to connect data between two systems.,automatic
IU-01-04,02 - Interoperability and Usability,Define standards for integration,Reduce complexity of data engineering pipelines,Delta Live Tables; Autoloader,"Investing in reducing the complexity of data engineering pipelines enables scalability, agility and flexibility to be able to expand and innovate faster. Simplified pipelines make it easier to manage and adapt all of the operational needs of a data engineering pipeline: task orchestration, cluster management, monitoring, data quality, and error handling.

Delta Live Tables is a framework for building reliable, maintainable, and testable data processing pipelines. You define the transformations to perform on your data, and Delta Live Tables manages task orchestration, cluster management, monitoring, data quality, and error handling. See What is Delta Live Tables?.

Auto Loader incrementally and efficiently processes new data files as they arrive in cloud storage. It can reliably read data files from cloud storage. An essential aspect of both Delta Live Tables and Auto Loader is their declarative nature: Without them, one has to build complex pipelines that integrate different cloud services - such as a notification service and a queuing service - to reliably read cloud files based on events and allow the combining of batch and streaming sources reliably.

Auto Loader and Delta Live Tables reduce system dependencies and complexity and significantly improve the interoperability with the cloud storage and between different paradigms like batch and streaming. As a side effect, the simplicity of pipelines increases platform usability.

AWS | Azure | GCP
AWS | Azure | GCP",waf_controls_i,80,Percentage of applicable resources that satisfy: Reduce complexity of data engineering pipelines.,"Investing in reducing the complexity of data engineering pipelines enables scalability, agility and flexibility to be able to expand and innovate faster.",automatic
IU-02-01,02 - Interoperability and Usability,Utilize open interfaces and data formats,Use open data formats,Delta Lake,"Using an open data format means there are no restrictions on its use. This is important because it removes barriers to accessing and using the data for analysis and driving business insights. Open formats, such as those built on Apache Spark, also add features that boost performance with support for ACID transactions, unified streaming, and batch data processing. Furthermore, open source is community-driven, meaning the community is constantly working on improving existing features and adding new ones, making it easier for users to get the most out of their projects.

The Delta Lake framework has many advantages, from reliability features to high-performance enhancements, and it is also a fully open data format. 
Additionally, Delta Lake comes with a Delta Standalone library, which opens the Delta format for development projects. It is a single-node Java library that can read from and write to Delta tables. Dozens of third-party tools and applications support Delta Lake. Specifically, this library provides APIs to interact with table metadata in the transaction log, implementing the Delta Transaction Log Protocol to achieve the transactional guarantees of the Delta format.
AWS | Azure | GCP
AWS | Azure | GCP

UniForm takes advantage of the fact that both Delta Lake and Iceberg consist of Parquet data files and a metadata layer. UniForm automatically generates Iceberg metadata asynchronously, allowing Iceberg clients to read Delta tables as if they were Iceberg tables. You can expect negligible Delta write overhead when UniForm is enabled, as the Iceberg conversion and transaction occurs asynchronously after the Delta commit.

A single copy of the data files provides access to both format clients.
AWS | Azure | GCP",waf_controls_i,80,Percentage of applicable resources that satisfy: Use open data formats.,Using an open data format means there are no restrictions on its use.,automatic
IU-02-02,02 - Interoperability and Usability,Utilize open interfaces and data formats,Enable secure data sharing for all data and AI assets,Delta Sharing,"Sharing data can lead to better collaboration and decision-making. However, when sharing data, it's important to maintain control over the data use, ensure confidentiality, and establish guidelines for data collection, storage, processing, and sharing - in order to protect your data and remain in ensure compliance with relevant laws and regulations around data sharing.

Delta Sharing provides an open solution for securely sharing live data from your lakehouse to any computing platform. Recipients do not need to be on the Databricks platform, on the same cloud, or on any cloud at all. Delta Sharing is natively integrated with Unity Catalog, enabling organizations to centrally manage and audit shared data across the enterprise and confidently share data assets while meeting security and compliance requirements.

Data providers can share live data from where it resides in their cloud storage without replicating or moving it to another system. This approach reduces the operational costs of data sharing because data providers don't have to replicate data multiple times across clouds, geographies, or data platforms to each of their data consumer 
AWS | Azure | GCP

If you want to share data with users who don't have access to your Unity Catalog metastore, you can use Databricks-to-Databricks Delta Sharing, as long as the recipients have access to a Databricks workspace that is enabled for Unity Catalog. Databricks-to-Databricks sharing lets you share data with users in other Databricks accounts, across cloud regions, across cloud providers. It’s a great way to securely share data across different Unity Catalog metastores in your own Databricks account. 
AWS | Azure | GCP",waf_controls_i,80,Percentage of applicable resources that satisfy: Enable secure data sharing for all data and AI assets.,Sharing data can lead to better collaboration and decision-making.,automatic
IU-02-03,02 - Interoperability and Usability,Utilize open interfaces and data formats,Use open standards for your AI workflows,MLFlow,"Like using an open source data format, using open standards for your AI workflows has similar benefits of flexibility, agility, cost, and security.

MLflow is an open source platform for managing the ML lifecycle, including experimentation, reproducibility, deployment, and a central model registry. Using MLflow on Databricks provides both advantages: You can write your ML workflow using an open and portable tool and use reliable services operated by Databricks (Tracking Server, Model Registry). It also adds enterprise-grade, scalable model serving, allowing you to host MLflow models as REST endpoints. 

AWS | Azure | GCP",waf_controls_i,80,Percentage of applicable resources that satisfy: Use open standards for your AI workflows.,"Like using an open source data format, using open standards for your AI workflows has similar benefits of flexibility, agility, cost, and security.",automatic
IU-03-01,02 - Interoperability and Usability,Simplify new use case implementation,Provide a self-service experience across the platform,Databricks Data intelligence Platform,"There are several benefits of a platform where users have autonomy to use the tools and capabilities depending on their needs. Investing in creating a self-service platform makes it easy to scale to serve more users and drives greater efficiency by minimizing the need for human involvement to provision users, resolve issues, and process access requests.

The Databricks Data Intelligence Platform has all the capabilities required to provide a self-service experience. While there might be a mandatory approval step, the best practice is to fully automate the setup when a business unit requests access to the lakehouse. Automatically provision their new environment, sync users and use SSO for authentication, provide access control to common data and separate object storages for their own data, and so on. Together with a central data catalog containing semantically consistent and business-ready data sets, this quickly and securely provides access for new business units to the Lakehouse capabilities and the data they need. 

Blog",waf_controls_i,80,Percentage of applicable resources that satisfy: Provide a self-service experience across the platform.,There are several benefits of a platform where users have autonomy to use the tools and capabilities depending on their needs.,automatic
IU-03-02,02 - Interoperability and Usability,Simplify new use case implementation,Use serverless services,"Databricks Serverless SQL;
Serverless Workflows;
Serverless Notebooks","Using serverless has multiple benefits beyond just cost savings, scalability, and performance. Development is faster when developers can focus on code instead of infrastructure. They also have greater flexibility in how they design their applications.

For serverless compute on the Databricks platform, the compute layer runs in the customer’s Databricks account. Cloud administrators no longer have to manage complex cloud environments that involve adjusting quotas, creating and maintaining networking assets, and joining billing sources. Users benefit from near-zero waiting times for cluster start and improved concurrency on their queries. 

AWS | Azure | GCP",waf_controls_i,80,Percentage of applicable resources that satisfy: Use serverless services.,"Using serverless has multiple benefits beyond just cost savings, scalability, and performance.",automatic
IU-03-03,02 - Interoperability and Usability,Simplify new use case implementation,Use pre-defined compute templates,Databricks Cluster Policies,"Pre-defined compute templates can help bring some of the benefits of serverless when it's not available for a particular tool or in your region. Mainly, these templates remove the need for developers to provision their own compute and determine infrastructure needs, thus speeding up time to development.

Remove the burden of defining a cluster (VM type, node size, and cluster size) from end users. This can be achieved in the following ways:

Provide shared clusters as immediate environments for users. On these clusters, use auto scaling down to a very minimum of nodes to avoid high idle costs.

Use cluster policies to define t-shirt-sized clusters (S, M, L) for projects as a standardized work environment.
Blog
AWS | Azure | GCP",waf_controls_i,80,Percentage of applicable resources that satisfy: Use pre-defined compute templates.,Pre-defined compute templates can help bring some of the benefits of serverless when it's not available for a particular tool or in your region.,automatic
